,time,rank,score
717,2021/10/23 19:22,4,13200
718,2021/10/23 18:45,4,9500
719,2021/10/19 23:51,4,-1200
720,2021/10/19 23:10,4,14400
721,2021/10/19 22:39,1,36000
722,2021/10/19 21:52,3,16600
723,2021/10/19 21:12,2,31500
724,2021/10/19 20:50,4,-3400
725,2021/10/19 20:07,2,33900
726,2021/10/19 16:18,1,42500
727,2021/10/19 15:08,3,23300
728,2021/10/18 16:14,3,29600
729,2021/10/18 15:34,4,9300
730,2021/10/18 14:24,2,30500
731,2021/10/18 00:01,4,14000
732,2021/10/17 23:44,4,-3600
733,2021/10/17 22:54,2,24700
734,2021/10/17 22:15,1,49300
735,2021/10/17 21:39,3,22100
736,2021/10/17 15:19,3,19400
737,2021/10/17 14:51,3,21400
738,2021/10/17 14:18,1,36300
739,2021/10/17 01:03,4,-4900
740,2021/10/17 00:21,3,19200
741,2021/10/16 23:38,3,12100
742,2021/10/16 22:05,3,11900
743,2021/10/16 20:32,3,16200
744,2021/10/16 19:51,1,44800
745,2021/10/16 19:29,3,22500
746,2021/10/16 18:27,2,30900
747,2021/10/16 17:50,3,21500
748,2021/10/16 14:51,3,20200
749,2021/10/16 00:37,3,12100
750,2021/10/15 23:33,4,7300
751,2021/10/15 22:46,3,15600
752,2021/10/15 22:13,3,24200
753,2021/10/15 21:30,1,45800
754,2021/10/15 20:51,2,34800
755,2021/10/15 20:24,2,32600
756,2021/10/15 19:32,4,1400
757,2021/10/15 17:08,3,19600
758,2021/10/15 14:31,1,48200
759,2021/10/15 13:50,1,54100
760,2021/10/15 03:31,1,53800
761,2021/10/15 02:55,2,28800
762,2021/10/15 02:24,3,18300
763,2021/10/15 01:31,3,15700
764,2021/10/15 00:50,4,6500
765,2021/10/14 23:44,3,15100
766,2021/10/14 22:29,3,15900
767,2021/10/14 15:08,1,48600
768,2021/10/14 14:15,4,13600
769,2021/10/14 13:13,2,27100
770,2021/10/14 12:25,3,24300
771,2021/10/14 11:34,1,30500
772,2021/10/13 18:57,4,-1700
